time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,showers,weather_code,cloud_cover,wind_speed_10m,uv_index,visibility,city,latitude,longitude
2026-04-07T00:00,23.2,96,27.9,0.0,0.0,0.0,3,93,3.2,0.0,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T01:00,22.3,97,26.5,0.0,0.0,0.0,45,95,4.0,0.0,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T02:00,22.1,97,26.3,0.0,0.0,0.0,45,100,4.0,0.0,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T03:00,21.8,97,25.9,0.0,0.0,0.0,45,100,3.2,0.0,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T04:00,21.5,98,25.6,0.0,0.0,0.0,45,100,2.7,0.0,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T05:00,21.2,97,24.9,0.0,0.0,0.0,45,100,3.2,0.0,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T06:00,20.8,98,24.4,0.0,0.0,0.0,45,100,3.4,0.0,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T07:00,21.7,97,25.7,0.0,0.0,0.0,45,100,3.5,0.45,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T08:00,24.0,87,28.4,0.0,0.0,0.0,3,100,2.8,1.9,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T09:00,25.2,82,29.9,0.0,0.0,0.0,3,100,1.1,4.15,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T10:00,26.4,77,31.4,0.0,0.0,0.0,3,100,3.1,6.15,9840.0,Bandung (Central),-6.9175,107.6191
2026-04-07T11:00,27.6,71,33.0,0.0,0.0,0.0,3,100,6.0,7.6,11060.0,Bandung (Central),-6.9175,107.6191
2026-04-07T12:00,28.0,71,33.4,0.0,0.0,0.0,3,100,8.2,8.35,21900.0,Bandung (Central),-6.9175,107.6191
2026-04-07T13:00,27.8,73,32.2,0.1,0.0,0.1,3,100,10.1,7.75,21460.0,Bandung (Central),-6.9175,107.6191
2026-04-07T14:00,27.6,74,31.3,0.2,0.0,0.2,3,100,10.9,5.2,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T15:00,27.4,73,31.0,0.1,0.0,0.1,3,100,9.8,2.45,21140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T16:00,26.9,73,30.3,0.0,0.0,0.0,3,100,9.9,1.35,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T17:00,25.9,78,29.4,0.1,0.0,0.1,3,100,9.2,0.65,20920.0,Bandung (Central),-6.9175,107.6191
2026-04-07T18:00,24.8,86,29.1,0.1,0.0,0.1,3,100,5.9,0.1,10440.0,Bandung (Central),-6.9175,107.6191
2026-04-07T19:00,24.2,90,28.7,0.2,0.0,0.2,80,100,4.6,0.0,21020.0,Bandung (Central),-6.9175,107.6191
2026-04-07T20:00,23.8,93,28.6,0.1,0.0,0.1,3,100,3.7,0.0,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T21:00,23.5,94,28.4,0.6,0.0,0.6,80,100,2.7,0.0,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-07T22:00,23.3,95,28.2,0.5,0.0,0.5,80,100,2.5,0.0,10000.0,Bandung (Central),-6.9175,107.6191
2026-04-07T23:00,23.2,96,28.1,0.2,0.0,0.2,45,75,2.9,0.0,5860.0,Bandung (Central),-6.9175,107.6191
2026-04-08T00:00,22.9,97,27.6,0.3,0.0,0.3,80,100,3.6,0.0,10380.0,Bandung (Central),-6.9175,107.6191
2026-04-08T01:00,22.7,97,27.4,0.2,0.0,0.2,45,100,2.6,0.0,6020.0,Bandung (Central),-6.9175,107.6191
2026-04-08T02:00,22.6,97,27.2,0.0,0.0,0.0,45,100,2.9,0.0,13340.0,Bandung (Central),-6.9175,107.6191
2026-04-08T03:00,22.4,97,26.8,0.0,0.0,0.0,45,100,3.4,0.0,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-08T04:00,22.2,97,26.5,0.0,0.0,0.0,45,55,3.3,0.0,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-08T05:00,21.8,97,25.9,0.0,0.0,0.0,45,59,3.5,0.0,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-08T06:00,21.4,98,25.3,0.0,0.0,0.0,45,54,3.8,0.0,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-08T07:00,22.4,97,26.7,0.0,0.0,0.0,45,50,3.9,0.5,24140.0,Bandung (Central),-6.9175,107.6191
2026-04-08T08:00,24.6,84,29.0,0.0,0.0,0.0,2,53,2.4,2.15,24140.0,Bandung (Central),-6.9175,107.6191
